,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
0,Redstone,C.E. Johnson,14,89,4.63,,2016,,1,Fantasy,,,https://www.goodreads.com/book/show/30150701-redstone
1,Froi of the Exiles,Melina Marchetta,1962,16725,4.29,593,2011,,1,"Fantasy,Young Adult,Romance",,,https://www.goodreads.com/book/show/10165727-froi-of-the-exiles
2,Bluestone,C.E. Johnson,40,130,4.37,482,2015,,1,"Fantasy,Young Adult,Fantasy > Urban Fantasy",,,https://www.goodreads.com/book/show/27837381-bluestone
3,Rise of the Flame,K.N. Lee,96,623,3.97,465,2015,,1,"Fantasy,Young Adult,Fantasy > Magic",,,https://www.goodreads.com/book/show/24148841-rise-of-the-flame
4,"The Magic Kingdom of Landover, Volume 1",Terry Brooks,94,3023,4.13,710,2009,1992,1,"Fantasy,Fiction,Epic",,,https://www.goodreads.com/book/show/6130616-the-magic-kingdom-of-landover-volume-1
5,The Dwarves,Markus Heitz,783,11203,3.95,738,2009,2003,1,"Fantasy,Fiction,Fantasy > High Fantasy",,Geborgene Land,https://www.goodreads.com/book/show/6657006-the-dwarves
6,The Broken Sword,Poul Anderson,574,5762,3.86,208,2014,1954,0,"Fantasy,Fiction,Fantasy > Mythology",,,https://www.goodreads.com/book/show/40500762-the-broken-sword
7,The Lord of the Rings,J.R.R. Tolkien,12447,607039,4.5,1216,2005,1955,1,"Classics,Science Fiction Fantasy,Fantasy > Epic Fantasy","Hugo Award Nominee for Best All-Time Series (1966), Prometheus Hall of Fame Award (2009), International Fantasy Award for Fiction (1957), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2002), Prix du Meilleur Livre Étranger for Roman (1972) ...more",Middle-earth,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
8,The Scorpio Races,Maggie Stiefvater,13446,109416,4.06,409,2011,2011,0,"Fantasy,Young Adult,Romance","Mythopoeic Fantasy Award Nominee for Children's Literature (2012), Odyssey Award Nominee (2012), Los Angeles Times Book Prize Nominee for Young Adult Literature (2011), Michael L. Printz Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2013) ...more",Thisby,https://www.goodreads.com/book/show/10626594-the-scorpio-races
9,The Broken Crown,Michelle West,145,2985,3.93,764,1997,,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",,,https://www.goodreads.com/book/show/153220.The_Broken_Crown
